town,area,price
Harlem,115,852000
Financial District,197,3156000
SoHo,248,8022000
Tribeca,281,9918000
Chinatown,141,1568000
Morningside Heights,127,1175000
Two Bridges,191,2785000
Midtown West,185,3217000
Midtown West,184,3537000
SoHo,342,10986000
Gramercy Park,57,1301000
Midtown East,188,3999000
Battery Park City,265,7543000
Harlem,242,2125000
Midtown West,153,2856000
Stuyvesant Town,124,2316000
Financial District,107,2392000
Hudson Yards,163,6032000
Carnegie Hill,99,2226000
Upper West Side,282,4799000
Financial District,167,3106000
Midtown West,213,6237000
Harlem,133,1689000
Chinatown,232,2566000
Gramercy Park,233,4129000
Tribeca,339,10745000
Murray Hill,133,2289000
Stuyvesant Town,105,1891000
Little Italy,168,4875000
Battery Park City,216,4998000
Upper East Side,337,10987000
Lower East Side,169,2239000
Little Italy,187,5198000
Upper East Side,604,16296000
Morningside Heights,122,1659000
Hell's Kitchen,73,1660000
Tribeca,242,7458000
Financial District,160,3439000
Washington Heights,99,662000
Washington Heights,162,1242000
Upper East Side,46,1246000
East Harlem,192,1478000
Harlem,52,646000
Hamilton Heights,89,704000
Inwood,91,637000
East Harlem,171,1460000
Carnegie Hill,270,5262000
Chinatown,136,2009000
Kips Bay,154,3870000
Upper West Side,320,5961000
Murray Hill,251,5059000
Greenwich Village,173,5223000
Greenwich Village,315,10719000
East Harlem,66,576000
Stuyvesant Town,158,3141000
Nolita,156,5579000
Gramercy Park,330,6394000
Midtown East,250,6776000
SoHo,275,8019000
SoHo,368,15680000
Murray Hill,193,3850000
Gramercy Park,199,3816000
Midtown West,37,893000
Nolita,92,2358000
Inwood,56,406000
Upper West Side,334,8764000
Gramercy Park,194,4123000
Hudson Yards,171,6028000
Hamilton Heights,77,604000
Upper East Side,79,2475000
Washington Heights,115,793000
Little Italy,235,5622000
Midtown East,125,2597000
Hamilton Heights,134,804000
Flatiron,263,8131000
Flatiron,324,6460000
Upper East Side,612,21592000
Lower East Side,154,2782000
Gramercy Park,149,4641000
Hudson Yards,114,4608000
Greenwich Village,291,8077000
Kips Bay,170,2521000
