area,rooms,age,price
208,7,1,3058000
214,7,40,4162000
261,8,114,7225000
281,9,27,7930000
187,7,39,2419000
97,3,106,663000
165,5,20,2890000
205,7,53,3896000
175,7,76,2456000
242,7,13,8745000
146,5,43,2727000
258,9,28,6894000
81,4,30,1969000
263,8,78,2141000
214,6,120,2286000
138,4,23,2177000
284,8,59,4822000
275,10,82,10072000
75,3,22,1985000
466,12,45,11659000
210,7,4,3949000
91,3,19,2048000
121,5,105,1291000
152,6,25,1850000
83,2,78,1105000
339,12,51,12260000
228,8,74,4136000
114,3,22,1538000
131,4,87,3198000
200,7,113,2224000
645,12,78,18078000
71,3,22,1304000
86,4,19,1786000
395,12,104,9303000
122,4,41,1252000
236,9,121,3331000
242,8,99,8423000
104,3,11,1945000
168,6,15,1367000
121,5,107,825000
178,7,75,6023000
88,3,29,504000
90,2,120,882000
97,2,60,879000
153,5,64,1045000
103,4,49,1139000
112,3,71,2410000
119,4,122,789000
249,7,21,4606000
455,12,28,7854000
190,5,69,2689000
247,7,59,7230000
133,3,66,3511000
158,5,31,1045000
197,8,114,2578000
205,7,10,4508000
184,7,70,2844000
266,10,38,7774000
344,11,81,9939000
299,10,74,6632000
228,7,3,3844000
171,6,48,2324000
372,12,21,10106000
52,1,24,1533000
81,4,47,564000
206,6,86,2983000
353,12,62,5736000
392,12,106,7236000
125,4,13,1362000
315,9,86,5370000
61,3,34,340000
107,4,24,1910000
294,9,71,4673000
150,4,118,895000
178,7,40,3884000
251,7,15,7850000
438,12,87,10055000
271,10,28,3748000
366,12,15,8079000
444,12,2,11076000
61,3,112,869000
188,5,75,2288000
108,5,46,507000
116,5,90,410000
122,3,41,623000
135,4,119,978000
223,6,87,3845000
146,5,59,4122000
257,9,84,5083000
109,3,110,818000
223,8,13,9803000
244,9,118,4059000
126,4,35,1332000
213,6,72,2443000
121,3,90,670000
150,5,5,1267000
395,12,41,12343000
230,9,19,2286000
198,8,81,3237000
170,7,58,1794000
296,10,101,4983000
102,2,19,683000
205,6,42,4484000
180,7,70,1525000
317,10,22,8680000
163,5,51,1570000
113,3,112,803000
288,11,61,5289000
148,6,37,841000
215,6,15,2364000
113,5,32,1678000
343,12,35,5081000
193,6,66,2296000
242,7,54,4196000
133,4,77,3575000
37,2,78,341000
37,1,108,722000
196,6,110,3444000
181,7,111,1884000
163,4,66,4254000
53,2,43,391000
251,9,40,3297000
372,12,75,4690000
190,5,3,3837000
272,10,23,6795000
66,3,50,1055000
221,7,63,4275000
115,3,82,1652000
183,6,32,3149000
281,8,55,6723000
163,6,31,2223000
557,12,9,24790000
78,3,19,739000
76,4,59,1796000
47,3,114,292000
528,12,76,16648000
293,9,40,9495000
268,9,10,7191000
384,12,73,10980000
209,8,66,4793000
192,5,4,5743000
151,5,7,2553000
102,3,85,1650000
128,4,66,622000
170,7,95,1573000
325,12,95,6738000
128,4,81,908000
130,3,64,877000
132,3,32,2650000
232,7,29,2096000
134,4,69,2592000
267,9,54,8809000
448,12,76,15488000
122,5,86,2268000
260,9,85,5053000
271,10,81,5682000
110,4,41,1678000
46,3,35,772000
279,10,42,4238000
188,6,68,4874000
490,12,29,17086000
197,6,120,4733000
246,8,115,4816000
144,4,71,2572000
335,10,55,9733000
345,12,47,5839000
180,7,116,3405000
219,6,66,3502000
171,6,105,3023000
106,5,118,1305000
160,6,48,879000
45,2,103,253000
349,12,36,9671000
97,2,12,1341000
