area,price
115,852000
197,3156000
248,8022000
281,9918000
141,1568000
127,1175000
191,2785000
185,3217000
184,3537000
342,10986000
57,1301000
188,3999000
265,7543000
242,2125000
153,2856000
124,2316000
107,2392000
163,6032000
99,2226000
282,4799000
167,3106000
213,6237000
133,1689000
232,2566000
233,4129000
339,10745000
133,2289000
105,1891000
168,4875000
216,4998000
337,10987000
169,2239000
187,5198000
604,16296000
122,1659000
73,1660000
242,7458000
160,3439000
99,662000
162,1242000
46,1246000
192,1478000
52,646000
89,704000
91,637000
171,1460000
270,5262000
136,2009000
154,3870000
320,5961000
251,5059000
173,5223000
315,10719000
66,576000
158,3141000
156,5579000
330,6394000
250,6776000
275,8019000
368,15680000
193,3850000
199,3816000
37,893000
92,2358000
56,406000
334,8764000
194,4123000
171,6028000
77,604000
79,2475000
115,793000
235,5622000
125,2597000
134,804000
263,8131000
324,6460000
612,21592000
154,2782000
149,4641000
114,4608000
291,8077000
170,2521000
154,1395000
130,915000
119,837000
130,804000
108,2276000
136,3071000
145,3780000
129,1298000
262,7481000
263,6295000
114,2445000
93,1343000
120,819000
177,1234000
395,12657000
140,1498000
272,6469000
118,1775000
239,5320000
68,592000
205,5928000
177,1729000
211,5271000
110,916000
196,1599000
198,5171000
90,807000
172,1272000
164,1756000
141,5441000
99,1204000
196,4964000
71,2226000
139,1767000
120,3475000
258,6879000
72,926000
269,5243000
125,671000
402,7888000
368,7090000
164,3266000
493,12601000
171,3821000
229,5307000
83,1769000
220,3998000
294,8350000
146,1999000
557,17841000
206,2103000
228,4839000
147,1110000
528,17802000
293,12498000
148,3925000
384,13422000
506,16686000
227,4985000
94,2053000
151,2793000
144,1127000
158,1823000
162,3938000
103,937000
174,1313000
209,3962000
37,550000
189,2895000
466,12735000
448,13523000
203,4943000
94,1700000
271,8489000
202,4173000
270,5630000
182,2218000
219,4824000
490,15601000
151,5476000
104,2281000
137,2566000
323,4755000
165,5095000
293,5266000
310,5576000
205,4533000
244,4920000
107,722000
140,770000
226,6527000
159,3106000
178,6909000
278,7485000
190,5060000
159,1329000
163,870000
146,3563000
220,7691000
143,2960000
64,436000
372,17501000
101,4265000
158,1436000
338,10917000
76,592000
188,1425000
102,1456000
203,3895000
95,856000
131,1328000
37,1097000
125,1545000
347,15555000
281,7201000
297,4975000
153,2638000
155,3239000
193,3726000
104,613000
99,792000
179,2925000
161,3818000
91,2853000
52,980000
87,1090000
138,2842000
362,7791000
294,6207000
257,8100000
164,3661000
160,5396000
107,2292000
143,4081000
73,1350000
232,1833000
224,2173000
260,2777000
222,6995000
141,1021000
239,6975000
154,3024000
77,1198000
110,2476000
167,2559000
204,3243000
179,5620000
174,1391000
135,1785000
94,1333000
211,5450000
109,1796000
334,9681000
398,9777000
63,955000
137,1874000
218,8001000
119,1132000
98,2288000
120,1188000
251,5084000
208,4081000
319,10261000
318,5999000
180,3579000
431,10970000
365,13505000
215,6096000
116,2659000
244,5485000
96,678000
227,6305000
167,5592000
421,8694000
181,2560000
102,827000
37,341000
161,4607000
237,7224000
33,162000
171,3940000
89,879000
274,7069000
151,3118000
204,4460000
136,3235000
99,1181000
236,4502000
151,4386000
48,1137000
101,762000
177,3735000
93,2528000
96,757000
132,2287000
246,2876000
502,12797000
247,6112000
212,3106000
200,3202000
419,15621000
76,673000
141,2565000
204,1548000
280,7443000
198,4049000
284,5517000
197,4214000
193,3533000
379,11317000
131,1641000
139,4428000
184,922000
511,18157000
134,1795000
111,1522000
335,6644000
37,852000
524,20707000
264,4714000
35,309000
202,3867000
45,262000
199,4300000
160,1278000
207,4687000
163,1744000
75,886000
88,622000
288,5596000
37,872000
197,3598000
158,2010000
255,6051000
76,1247000
520,12879000
71,889000
220,6708000
184,4200000
42,544000
220,6917000
33,489000
33,451000
218,6446000
96,2642000
224,5347000
120,2406000
248,4769000
149,4484000
86,1947000
195,4522000
240,7168000
154,4296000
110,3089000
157,5674000
148,3366000
270,7931000
276,5535000
193,8100000
179,3571000
248,5005000
76,1574000
382,10875000
109,1398000
206,6028000
90,687000
104,1570000
135,1063000
216,5938000
261,6748000
183,1346000
94,1769000
134,3291000
200,3893000
143,1252000
40,738000
292,7018000
107,1877000
139,1404000
55,749000
89,1658000
37,941000
99,1147000
223,4466000
264,7812000
122,3252000
349,9390000
364,12126000
91,2829000
201,4172000
361,8755000
409,9281000
37,836000
184,4068000
114,915000
200,4751000
217,4531000
106,2574000
323,7802000
56,387000
202,6104000
268,6710000
276,6714000
427,13917000
214,2192000
97,912000
237,8666000
226,5205000
207,4610000
163,2849000
232,2884000
279,5009000
422,6126000
292,11504000
111,953000
90,1135000
220,5609000
224,2886000
184,3148000
254,6743000
242,4923000
72,1849000
87,725000
303,8244000
122,1416000
167,4658000
213,4559000
111,2469000
248,8213000
332,7974000
365,13914000
158,4094000
282,10722000
400,10429000
191,3430000
204,2025000
421,12922000
106,2453000
199,3469000
177,1847000
188,3086000
163,1081000
167,3753000
56,373000
222,4075000
79,665000
245,7306000
257,7882000
168,3117000
124,3897000
194,3939000
147,1415000
323,9607000
219,3058000
215,2542000
243,9058000
266,7555000
163,2494000
333,9036000
189,3236000
329,9638000
181,5675000
148,1094000
301,8783000
275,6291000
127,1588000
418,10029000
341,5099000
365,13698000
265,5679000
83,714000
351,10801000
360,11419000
243,4925000
289,7472000
377,9405000
232,2675000
152,1179000
42,884000
502,18148000
172,4453000
158,1673000
102,1353000
279,4997000
313,10061000
82,1696000
259,8012000
115,1733000
242,6206000
121,933000
205,5535000
97,593000
162,2210000
154,3635000
369,13633000
141,2260000
268,6245000
142,1120000
200,4132000
118,636000
119,895000
379,9660000
295,9813000
116,2240000
395,13751000
62,1431000
150,1416000
83,1065000
137,1682000
121,1802000
89,750000
199,3078000
371,11331000
316,5078000
218,1840000
151,2532000
55,550000
224,7953000
155,2884000
157,1187000
103,3628000
155,1552000
136,1054000
99,877000
103,2910000
316,10723000
144,1926000
145,2000000
237,5957000
186,3416000
41,177000
215,4242000
171,3408000
220,3974000
253,6040000
198,6117000
118,1201000
179,2367000
223,4140000
156,3220000
418,12121000
290,10638000
75,693000
395,6825000
214,2506000
129,3345000
160,3478000
138,2887000
353,7643000
167,4039000
127,2459000
743,26641000
311,7068000
97,1431000
120,917000
331,9860000
187,3781000
150,954000
268,3238000
118,1567000
182,3001000
52,1148000
138,704000
72,354000
357,8651000
258,4358000
147,4600000
156,4330000
363,6496000
379,11624000
172,3276000
455,13457000
208,3373000
78,2473000
82,530000
400,13297000
108,2905000
42,746000
242,5412000
178,4820000
267,5162000
274,7088000
173,4648000
203,4717000
325,7812000
213,6770000
136,2227000
73,1024000
413,15770000
472,13683000
324,6771000
226,5722000
138,1854000
